SEXO;EDAD;P1;RECUVOTOG1R;ESCIDEOL;NIVELESTENTREV;RELIGION;SITLAB;RELALAB;CNO11;INGRESHOG
1;27;2;902;98;10;3;1;1;4;3
2;43;2;1;4;9;1;1;1;3;6
1;59;4;2;5;13;4;1;1;1;2
2;43;2;3;8;11;1;1;3;1;3
1;55;1;2;4;11;6;1;1;2;3
2;52;1;1;4;13;2;4;0;0;4
2;62;1;1;3;11;2;4;0;0;2
1;59;2;1;1;7;1;1;1;3;4
2;78;4;2;10;4;1;2;0;0;5
1;66;2;2;8;11;1;1;3;2;3
1;73;1;1;1;11;4;2;0;0;4
1;48;1;1;4;10;2;1;1;5;5
1;55;1;21;3;6;2;1;2;1;3
1;56;4;2;7;6;6;1;1;3;3
2;31;2;2;7;13;2;1;1;2;1
1;51;4;2;7;7;2;1;1;3;4
2;49;1;21;4;9;2;1;1;2;4
2;60;2;2;5;11;2;1;1;3;3
2;71;1;2;7;11;2;7;0;0;4
2;47;1;1;10;11;1;1;1;3;4
1;63;1;21;4;11;2;1;1;2;2
1;71;1;21;3;14;5;2;0;0;2
2;53;1;1;3;13;6;1;1;1;2
2;56;2;1;5;4;2;7;0;0;5
1;70;2;2;5;6;2;2;0;0;4
2;44;2;1;3;6;6;1;1;3;4
2;69;1;1;5;5;4;2;0;0;6
2;55;4;2;6;11;2;1;3;3;4
2;55;1;2;5;11;1;1;3;2;2
1;55;1;1;3;11;5;1;1;4;5
2;53;1;21;2;6;6;1;1;4;5
2;80;1;2;8;4;1;7;0;0;5
1;55;2;1;3;8;6;1;1;3;4
2;70;1;2;7;5;2;3;0;0;5
2;53;1;1;1;13;4;1;1;2;1
2;50;1;2;5;9;2;4;0;0;5
2;55;1;1;1;4;2;5;0;0;5
1;55;2;2;5;14;4;1;1;2;1
1;71;1;1;3;12;6;2;0;0;3
2;49;1;21;1;9;6;1;1;2;5
2;51;2;21;3;9;2;1;1;2;4
1;53;2;1;4;11;4;1;1;1;1
2;24;1;1;3;7;5;1;1;5;6
2;32;4;1;3;11;4;1;1;3;4
2;64;1;2;9;6;1;2;0;0;8
1;69;2;2;6;12;1;2;0;0;2
1;74;2;902;3;8;4;2;0;0;2
2;36;2;2;3;5;2;8;0;0;5
1;69;2;2;6;9;2;2;0;0;4
2;36;1;2;5;7;2;1;1;4;4
2;38;1;1;5;9;2;1;1;2;2
2;43;1;2;5;3;2;1;1;7;4
1;66;1;2;6;7;4;2;0;0;4
1;57;4;2;7;11;2;1;1;10;4
1;57;2;1;5;4;5;1;1;7;4
2;33;1;2;6;13;2;1;3;2;4
2;64;2;1;5;4;2;4;0;0;6
2;49;4;2;10;5;2;1;2;1;5
1;42;2;2;6;6;4;1;3;1;2
1;38;1;21;3;12;6;1;1;1;1
2;50;2;1;5;11;2;1;1;2;3
1;67;1;21;3;6;4;2;0;0;4
2;52;2;2;98;4;2;7;0;0;5
1;69;2;21;3;9;1;2;0;0;4
1;55;2;3;5;4;2;1;1;7;3
1;20;5;1;4;6;5;6;0;0;4
2;73;1;2;10;4;2;2;0;0;5
1;48;2;2;5;13;5;1;1;3;1
1;76;2;21;1;8;6;2;0;0;3
1;22;2;1;3;6;5;1;1;5;3
1;67;1;1;4;11;2;2;0;0;5
1;65;2;1;1;6;2;2;0;0;3
2;69;1;21;4;10;6;2;0;0;3
2;57;1;1;2;6;2;1;1;2;5
2;58;2;2;6;9;2;1;3;2;2
2;28;1;21;1;13;6;1;1;2;5
1;41;2;2;7;12;5;1;3;2;3
2;52;1;1;1;4;4;7;0;0;1
2;44;2;1;3;15;2;1;1;2;1
2;38;4;1;3;5;2;1;1;3;5
2;50;2;2;7;6;2;1;1;3;5
1;41;1;2;6;11;4;1;1;4;3
2;61;2;2;5;13;2;2;0;0;9
1;32;4;3;7;11;5;1;2;2;3
1;53;1;2;5;14;2;1;1;2;3
1;62;4;3;7;6;2;1;1;5;3
2;25;2;1;2;13;4;5;0;0;6
1;53;1;21;3;11;6;4;0;0;4
2;63;2;1;5;4;2;2;0;0;5
1;73;1;1;5;9;4;2;0;0;2
1;33;2;2;7;11;4;1;1;10;1
1;50;4;1;2;4;2;1;1;7;5
1;66;2;1;3;11;4;2;0;0;2
1;66;2;1;4;2;1;2;0;0;5
1;71;4;2;5;11;2;2;0;0;3
2;42;1;1;4;9;4;1;1;2;3
1;26;1;21;2;13;6;1;1;2;3
2;53;2;2;5;4;2;1;1;9;5
1;62;2;3;5;7;3;2;0;0;5
1;48;2;1;5;9;3;8;0;0;3
1;49;5;3;99;6;9;4;0;0;5
2;38;4;2;5;13;5;1;1;2;2
2;40;2;2;4;11;4;1;1;2;4
2;57;1;1;4;6;4;1;1;4;5
1;40;1;21;1;13;4;1;1;3;6
1;52;5;1;5;7;1;1;3;1;3
2;25;2;901;3;13;5;1;1;2;3
2;82;2;2;7;4;2;2;0;0;3
2;64;1;1;5;4;2;8;0;0;1
1;37;2;21;2;11;6;1;1;2;4
2;60;2;3;99;0;2;2;0;0;6
1;49;2;2;3;7;2;1;1;2;3
2;57;1;21;2;11;6;7;0;0;4
1;76;1;1;1;8;4;2;0;0;4
2;63;4;21;1;9;2;1;1;2;2
1;63;2;2;7;4;2;2;0;0;5
2;70;2;2;5;2;2;2;0;0;4
2;44;1;1;2;4;2;1;1;4;4
1;50;1;21;1;9;6;1;1;3;3
2;53;4;1;1;4;2;1;1;9;4
2;52;1;1;3;6;2;1;1;4;2
2;67;1;1;2;10;6;2;0;0;2
1;50;2;1;4;4;6;4;0;0;6
1;36;4;2;10;12;1;1;1;1;1
1;43;4;2;10;4;5;1;1;9;3
2;36;1;1;5;13;4;1;1;2;4
1;61;2;2;10;4;2;1;1;8;4
2;56;1;1;4;5;2;4;0;0;4
2;61;2;2;10;5;1;7;0;0;9
2;45;2;3;5;10;2;1;1;3;2
1;69;4;3;8;6;2;1;1;2;2
1;42;1;1;4;13;6;1;1;2;2
