SEXO Sexo de la persona entrevistada;EDAD Edad de la persona entrevistada;P1 Grado de preocupación por el cambio climático;RECUVOTOG1R Recuerdo de voto en las elecciones generales de 2023 de los votantes [recodificada];ESCIDEOL Escala de autoubicación ideológica (1-10);NIVELESTENTREV Nivel de estudios alcanzado por la persona entrevistada;RELIGION Religiosidad de la persona entrevistada;ECIVIL Estado civil de la persona entrevistada;SITLAB Situación laboral de la persona entrevistada;RELALAB Situación profesional de la persona entrevistada;CNO11 Ocupación de la persona entrevistada;INGRESHOG Nivel de ingresos netos del hogar
Mujer;53;Bastante;PP;9;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 2.701 a 3.900 €
Hombre;52;Nada;VOX;5;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Creyente de otra religión;Divorciado/a;Trabaja;Empresario/a o profesional con asalariados/as;Agricultores/as y trabajadores/as cualificados/as agropecuarios, forestales y pesqueros/as;Menos de 1.100 €
Hombre;54;Bastante;VOX;8;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a practicante;Divorciado/a;En paro y ha trabajado antes ;N.P.;N.P.;Menos de 1.100 €
Mujer;78;Mucho;PSOE;6;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;N.C.
Hombre;65;Mucho;PSOE;3;Doctorado;Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 2.701 a 3.900 €
Hombre;26;Bastante;PP;4;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;N.C.
Mujer;78;Poco;Sumar;2;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 2.701 a 3.900 €
Hombre;51;Bastante;PP;3;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Oficiales/as, operarios/as, artesanos/as y trabajadores/as de artes mecánicas y de otros oficios;De 1.801 a 2.700 €
Hombre;45;Mucho;Sumar;7;Máster oficial universitario (especialidades médicas o equivalente) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 1.801 a 2.700 €
Hombre;66;Poco;PP;8;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a no practicante;Divorciado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;N.C.
Hombre;78;Mucho;PSOE;1 Izquierda;Educación Primaria (Educación Primaria de LOGSE, 5º curso de EGB, enseñanza primaria antigua) ;Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.100 a 1.800 €
Hombre;67;Bastante;PSOE;5;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 3.901 a 5.000 €
Hombre;52;Poco;PP;6;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Ocupaciones elementales;De 1.801 a 2.700 €
Hombre;68;Bastante;PSOE;4;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 2.701 a 3.900 €
Hombre;44;Mucho;Sumar;2;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Ateo/a (niegan la existencia de Dios) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 1.100 a 1.800 €
Hombre;50;Mucho;PP;7;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 1.801 a 2.700 €
Mujer;46;Mucho;PSOE;8;Doctorado;Ateo/a (niegan la existencia de Dios) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;Más de 5.000 €
Hombre;75;Nada;VOX;10 Derecha;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;31;Bastante;PSOE;3;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Católico/a no practicante;Casado/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Profesionales, científicos e intelectuales;De 3.901 a 5.000 €
Mujer;55;Mucho;PSOE;N.C.;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Creyente de otra religión;Soltero/a;En paro y ha trabajado antes ;N.P.;N.P.;Menos de 1.100 €
Hombre;43;Mucho;PSOE;5;Arquitectura/Ingeniería;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 2.701 a 3.900 €
Hombre;35;Bastante;VOX;8;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 1.100 a 1.800 €
Mujer;67;Bastante;PSOE;5;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 2.701 a 3.900 €
Hombre;57;Mucho;PSOE;2;F.P. Básica (FPB), cualificación profesional grado inicial (FP grado inicial). PCPI (Programas de Cualificación Profesional Inicial, que no precisan de titulación académica de la primera etapa de secundaria para su realización). Programas de garantía social ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Oficiales/as, operarios/as, artesanos/as y trabajadores/as de artes mecánicas y de otros oficios;De 2.701 a 3.900 €
Mujer;53;Mucho;PSOE;1 Izquierda;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Personal de apoyo administrativo;De 1.100 a 1.800 €
Hombre;55;Mucho;PP;5;Máster oficial universitario (especialidades médicas o equivalente) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Directores/as y gerentes;De 3.901 a 5.000 €
Mujer;65;Poco;PP;8;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a practicante;Divorciado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;60;Mucho;Sumar;3;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 1.100 a 1.800 €
Mujer;61;Bastante;PSOE;1 Izquierda;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Oficiales/as, operarios/as, artesanos/as y trabajadores/as de artes mecánicas y de otros oficios;De 1.801 a 2.700 €
Hombre;57;Bastante;VOX;8;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Ocupaciones militares y cuerpos policiales;De 1.801 a 2.700 €
Mujer;73;Bastante;PP;4;Doctorado;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Divorciado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Hombre;69;Bastante;PSOE;4;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;Más de 5.000 €
Mujer;47;Bastante;Sumar;5;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Indiferente, no creyente;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Personal de apoyo administrativo;De 1.801 a 2.700 €
Hombre;44;Mucho;PSOE;4;Máster oficial universitario (especialidades médicas o equivalente) ;Indiferente, no creyente;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 1.801 a 2.700 €
Hombre;33;Poco;PP;6;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Oficiales/as, operarios/as, artesanos/as y trabajadores/as de artes mecánicas y de otros oficios;De 2.701 a 3.900 €
Hombre;35;Poco;PSOE;4;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;Más de 5.000 €
Mujer;64;Mucho;PP;10 Derecha;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;Más de 5.000 €
Mujer;22;Bastante;PSOE;3;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Ateo/a (niegan la existencia de Dios) ;Soltero/a;Estudiante ;N.P.;N.P.;N.S.
Mujer;53;Bastante;VOX;7;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Indiferente, no creyente;Soltero/a;Trabaja;Empresario/a o profesional con asalariados/as;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;Más de 5.000 €
Hombre;31;Poco;PP;5;Máster oficial universitario (especialidades médicas o equivalente) ;Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Personal de apoyo administrativo;De 3.901 a 5.000 €
Hombre;64;Mucho;PSOE;3;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Indiferente, no creyente;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 3.901 a 5.000 €
Hombre;40;Bastante;PSOE;3;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Ateo/a (niegan la existencia de Dios) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 1.801 a 2.700 €
Mujer;56;Poco;PSOE;3;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a practicante;Divorciado/a;En paro y ha trabajado antes ;N.P.;N.P.;Menos de 1.100 €
Mujer;48;Mucho;PSOE;3;"Arquitectura/Ingeniería Técnica (aparejador/a; peritos/as) ";Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;Más de 5.000 €
Mujer;36;Poco;PSOE;7;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a no practicante;Casado/a;Estudiante ;N.P.;N.P.;Menos de 1.100 €
Hombre;48;Bastante;PSOE;3;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Separado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 1.801 a 2.700 €
Mujer;34;Bastante;VOX;9;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Personal de apoyo administrativo;Menos de 1.100 €
Hombre;53;Mucho;PP;7;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Ateo/a (niegan la existencia de Dios) ;Divorciado/a;Trabaja;Asalariado/a por cuenta ajena;Directores/as y gerentes;Más de 5.000 €
Hombre;72;Mucho;PSOE;3;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;Más de 5.000 €
Hombre;54;Nada;VOX;9;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 3.901 a 5.000 €
Hombre;34;Bastante;PSOE;5;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Ateo/a (niegan la existencia de Dios) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 2.701 a 3.900 €
Hombre;63;Poco;VOX;6;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a practicante;Soltero/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Técnicos/as y profesionales de nivel medio;De 1.100 a 1.800 €
Hombre;74;Mucho;PSOE;5;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Ateo/a (niegan la existencia de Dios) ;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 3.901 a 5.000 €
Hombre;53;Poco;PP;8;Máster oficial universitario (especialidades médicas o equivalente) ;Católico/a no practicante;Casado/a;Trabaja;Empresario/a o profesional con asalariados/as;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;Más de 5.000 €
Hombre;21;Bastante;Sumar;3;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Indiferente, no creyente;Soltero/a;Estudiante ;N.P.;N.P.;De 1.100 a 1.800 €
Hombre;56;Bastante;Sumar;3;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Indiferente, no creyente;Casado/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Agricultores/as y trabajadores/as cualificados/as agropecuarios, forestales y pesqueros/as;De 3.901 a 5.000 €
Mujer;18;Bastante;PP;10 Derecha;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Creyente de otra religión;Soltero/a;Trabaja;Ayuda familiar (sin remuneración reglamentada en la empresa o negocio de un/a familiar);Trabajadores/as de los servicios y vendedores/as de comercios y mercados;Más de 5.000 €
Hombre;73;Mucho;PSOE;4;Arquitectura/Ingeniería;Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 2.701 a 3.900 €
Mujer;22;Mucho;Sumar;1 Izquierda;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Ateo/a (niegan la existencia de Dios) ;Soltero/a;Estudiante ;N.P.;N.P.;De 2.701 a 3.900 €
Hombre;45;Bastante;PSOE;3;Máster oficial universitario (especialidades médicas o equivalente) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Ocupaciones militares y cuerpos policiales;De 1.801 a 2.700 €
Mujer;72;(NO LEER) Regular;PP;6;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabajo doméstico no remunerado ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;56;Mucho;PP;8;Máster oficial universitario (especialidades médicas o equivalente) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 3.901 a 5.000 €
Hombre;46;Bastante;PP;5;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a no practicante;Casado/a;Trabaja;Empresario/a o profesional con asalariados/as;Directores/as y gerentes;De 3.901 a 5.000 €
Hombre;29;Bastante;PP;6;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Agricultores/as y trabajadores/as cualificados/as agropecuarios, forestales y pesqueros/as;De 1.801 a 2.700 €
Mujer;45;Bastante;PP;7;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Católico/a no practicante;Casado/a;En paro y ha trabajado antes ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;46;Bastante;Sumar;1 Izquierda;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Ateo/a (niegan la existencia de Dios) ;Casado/a;En paro y ha trabajado antes ;N.P.;N.P.;De 2.701 a 3.900 €
Hombre;46;Bastante;VOX;8;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Oficiales/as, operarios/as, artesanos/as y trabajadores/as de artes mecánicas y de otros oficios;De 1.801 a 2.700 €
Mujer;52;Mucho;PP;8;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Católico/a practicante;Viudo/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 1.801 a 2.700 €
Mujer;67;Nada;PP;5;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a practicante;Soltero/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;58;Mucho;PP;10 Derecha;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a no practicante;Casado/a;En paro y ha trabajado antes ;N.P.;N.P.;De 1.801 a 2.700 €
Hombre;58;Mucho;Sumar;1 Izquierda;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a practicante;Divorciado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 2.701 a 3.900 €
Hombre;58;Nada;PP;8;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 1.100 a 1.800 €
Mujer;38;Mucho;PSOE;3;Máster oficial universitario (especialidades médicas o equivalente) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Empresario/a o profesional con asalariados/as;Directores/as y gerentes;De 2.701 a 3.900 €
Mujer;57;Poco;PP;5;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a practicante;Soltero/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Técnicos/as y profesionales de nivel medio;De 2.701 a 3.900 €
Mujer;68;Mucho;PSOE;1 Izquierda;Menos de 5 años de escolarización ;Católico/a practicante;Viudo/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;39;Bastante;Sumar;1 Izquierda;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 1.801 a 2.700 €
Hombre;71;Poco;PP;6;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a no practicante;Viudo/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;56;Mucho;PSOE;3;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Indiferente, no creyente;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 3.901 a 5.000 €
Mujer;41;Poco;PSOE;3;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Ateo/a (niegan la existencia de Dios) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 1.100 a 1.800 €
Mujer;49;Mucho;PP;5;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 2.701 a 3.900 €
Hombre;53;Mucho;Sumar;4;F.P. Básica (FPB), cualificación profesional grado inicial (FP grado inicial). PCPI (Programas de Cualificación Profesional Inicial, que no precisan de titulación académica de la primera etapa de secundaria para su realización). Programas de garantía social ;Católico/a no practicante;Soltero/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.100 a 1.800 €
Hombre;54;Bastante;VOX;5;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Oficiales/as, operarios/as, artesanos/as y trabajadores/as de artes mecánicas y de otros oficios;De 1.801 a 2.700 €
Mujer;45;Bastante;PSOE;1 Izquierda;Máster oficial universitario (especialidades médicas o equivalente) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;22;Mucho;PP;4;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Indiferente, no creyente;Soltero/a;Estudiante ;N.P.;N.P.;De 1.801 a 2.700 €
Hombre;49;Mucho;Sumar;1 Izquierda;Arquitectura/Ingeniería;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Directores/as y gerentes;De 2.701 a 3.900 €
Hombre;65;Bastante;PSOE;5;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
